Date	Volume (m3)	Qout (m3/d)	Qin (m3/d)	Qin (mm/d)
2000-04-18	68137000.0	1296000.0	1628904.8109193118	0.09580354171480127
2000-04-19	68488000.0	1277856.0	1693320.6353282179	0.09959213886270277
2000-04-20	68971000.0	1252800.0	1830094.9355067685	0.10763647778590435
2000-04-21	69498000.0	1252800.0	1873735.9823893756	0.11020321270341975
2000-04-22	70025000.0	1252800.0	1862061.191654252	0.10951656343226146
2000-04-23	70508000.0	1252800.0	1826124.315824546	0.10740294699527163
2000-04-24	70991000.0	1252800.0	1822033.2852836698	0.10716233427655902
2000-04-25	71431000.0	1252800.0	1788497.9052908719	0.10518996108782216
2000-04-26	70904000.0	2246400.0	1783153.160929191	0.10487561157152338
2000-04-27	70289000.0	2419200.0	1816907.5995504856	0.10686086862696163
2000-04-28	68971000.0	3110400.0	1872733.7808308424	0.11014426852314849
2000-04-29	67566000.0	3225312.0	1898921.3339897706	0.11168448150837136
2000-04-30	66120000.00000001	3283200.0	1870181.689316228	0.10999416803585092
2000-05-01	64629000.00000001	3283200.0	1859942.455735115	0.10939195062269089
2000-05-02	62843000.0	3570912.0	1868244.6292064083	0.10988024043382581
2000-05-03	60382000.0	4253472.0	1861855.564516902	0.10950446953463237
2000-05-04	57876000.0	4276800.0	1822229.7246532806	0.10717388779841909
2000-05-05	55568000.0	4125600.0	1847093.2931369112	0.10863623102709183
2000-05-06	53562000.0	4017600.0	2050172.7306589251	0.12058028646460899
2000-05-07	51569000.0	4017600.0	2064400.400068052	0.12141708251960524
2000-05-08	49625000.0	4017600.0	2101583.241743641	0.12360398005938945
2000-05-09	47659000.0	4017600.0	2083904.837978445	0.12256423011131594
2000-05-10	46083000.0	3715200.0	2022829.0688905865	0.11897207730266293
2000-05-11	45399000.0	2759616.0	2167028.9787869025	0.12745315120607018
2000-05-12	44753000.0	2563488.0	1996650.8824539657	0.11743241521836763
2000-05-13	44221000.0	2505600.0	2072797.4532976747	0.12191095265490891
2000-05-14	43651000.0	2505600.0	2036478.9051510394	0.11977488827652238
2000-05-15	43125000.0	2505600.0	2080988.493515551	0.1223927061974981
2000-05-16	42574000.0	2505600.0	2054557.3138915002	0.12083816439572452
2000-05-17	42538000.0	2505600.0	2565019.648087118	0.15086085154117193
2000-05-18	42538000.0	2635200.0	2725374.472461863	0.16029207183297356
2000-05-19	42391000.0	2721600.0	2653073.4908211976	0.156039711557407
2000-05-20	42244000.0	2721600.0	2657089.7635920206	0.15627592742057975
2000-05-21	42134000.0	2721600.0	2587713.935634494	0.15219560917044414
2000-05-22	42024000.0	2721600.0	2676753.553230921	0.1574324472358035
2000-05-23	42134000.0	2721600.0	2915771.445508982	0.17149021197438366
2000-05-24	42317000.0	2721600.0	2999044.250439119	0.17638787670430142
2000-05-25	42354000.0	2721600.0	2841273.452143499	0.16710863512150975
2000-05-26	42354000.0	2638656.0	2728787.701479331	0.16049281986095235
2000-05-27	42281000.0	2635200.0	2659315.97494781	0.15640686136531406
2000-05-28	42207000.0	2635200.0	2671755.1328416914	0.15713846665875714
2000-05-29	42134000.0	2635200.0	2670208.706551045	0.15704751406616138
2000-05-30	42097000.0	2801088.0	2870926.5064508766	0.16885267050421868
2000-05-31	42171000.0	2844288.0	3012778.6337630525	0.17719566028802045
2000-06-01	42244000.0	2851200.0	3033541.302672401	0.1784168103537783
2000-06-02	42281000.0	2937600.0	3086062.8255646676	0.18150584777057757
2000-06-03	42317000.0	2937600.0	3076910.4777499647	0.18096755521365437
2000-06-04	42317000.0	2937600.0	3022811.776922661	0.17778575655563453
2000-06-05	42317000.0	2937600.0	3021932.7474285616	0.17773405670292247
2000-06-06	42281000.0	2937600.0	3012693.097385019	0.17719062949192596
2000-06-07	42244000.0	2979071.9999999995	3050933.951017752	0.17943975368362472
2000-06-08	42207000.0	2980800.0	3052737.75225617	0.1795458437056024
2000-06-09	42097000.0	2980800.0	2848541.9187827036	0.16753612777927815
2000-06-10	42060000.0	2939328.0000000005	2957777.503704022	0.17396078552882707
2000-06-11	42134000.0	2700000.0	2874162.040074356	0.16904296743157057
2000-06-12	42171000.0	2678400.0	2822784.4429384917	0.166021209660695
2000-06-13	42244000.0	2593728.0	2756022.2654620856	0.162094612469775
2000-06-14	42281000.0	2548800.0	2686104.7588234767	0.15798243555253302
2000-06-15	42244000.0	2548800.0	2620311.025290936	0.15411279709803066
2000-06-16	42207000.0	2548800.0	2631896.971048042	0.15479422097879128
2000-06-17	42207000.0	2592000.0	2712988.5350614786	0.15956359668669112
2000-06-18	42244000.0	2592000.0	2738150.2617359767	0.1610434759988016
2000-06-19	42244000.0	2592000.0	2695018.8427571557	0.15850671469166053
2000-06-20	42244000.0	2592000.0	2702327.1746635437	0.15893655201301027
2000-06-21	42354000.0	2630016.0	2837318.7910300912	0.16687604292925484
2000-06-22	42501000.0	2635200.0	2882862.3257836327	0.1695546720930658
2000-06-23	42391000.0	2635200.0	2622732.206440628	0.15425519813197605
2000-06-24	42281000.0	2635200.0	2603171.7371329023	0.15310475507064936
2000-06-25	42207000.0	2635200.0	2665517.006347701	0.15677157314368922
2000-06-26	42134000.0	2635200.0	2653698.764908763	0.1560764868629557
2000-06-27	42171000.0	2954880.0000000005	3103825.001635013	0.1825505247613347
2000-06-28	42060000.0	2980800.0	2991922.7320376784	0.1759690267625052
2000-06-29	42134000.0	2980800.0	3161850.38674525	0.18596327016282235
2000-06-30	42171000.0	2980800.0	3128523.788132891	0.18400317638756386
2000-07-01	42134000.0	2980800.0	3059459.2595018446	0.17994116711276575
2000-07-02	41950000.0	3024000.0	2942773.3643216197	0.17307832162818612
2000-07-03	41950000.0	3024000.0	3143587.2717909515	0.1848891306037533
2000-07-04	42024000.0	3024000.0	3215370.5044947565	0.18911103963285184
2000-07-05	42024000.0	3024000.0	3123880.2150558913	0.1837300660474102
2000-07-06	42024000.0	3024000.0	3130669.79282556	0.18412939300176753
2000-07-07	41914000.0	3110400.0	3120507.9740561545	0.1835317287172452
2000-07-08	42097000.0	2776032.0	3047744.518468601	0.1792521681769574
2000-07-09	42060000.0	2937600.0	2999715.090385567	0.1764273319520008
2000-07-10	42024000.0	2937600.0	2982796.474846947	0.17543226871770654
2000-07-11	42060000.0	2851200.0	2985791.1165486323	0.175608397659843
2000-07-12	42171000.0	2851200.0	3070808.6581478664	0.18060867854703327
2000-07-13	42281000.0	2866752.0	3085459.7117618173	0.18147037581544379
2000-07-14	42317000.0	2877119.9999999995	3024583.44163455	0.1778899564775651
2000-07-15	42207000.0	2877119.9999999995	2878345.540088489	0.16928901871426752
2000-07-16	42024000.0	2877119.9999999995	2764111.3498002565	0.16257036950826587
2000-07-17	41877000.0	2877119.9999999995	2799077.601478323	0.16462689898058003
2000-07-18	41730000.0	2877119.9999999995	2832200.4463836537	0.1665750090434448
2000-07-19	41620000.0	2937600.0	2935336.2927701324	0.17264091252371133
2000-07-20	41510000.0	2937600.0	2931600.128878106	0.17242117117916886
2000-07-21	41400000.0	3024000.0	3021468.166835606	0.17770673253645264
2000-07-22	41326000.0	3024000.0	3059762.2103830525	0.17995898507683017
2000-07-23	41253000.0	3024000.0	3034814.8337940583	0.17849171269989508
2000-07-24	41179000.0	2947968.0	2984500.7695049345	0.17553250629037884
2000-07-25	41106000.0	2937600.0	2972568.0952243507	0.17483068967682003
2000-07-26	41106000.0	2854656.0	2967897.6164595634	0.1745559968868111
2000-07-27	41143000.0	2851200.0	2995688.993065972	0.17619053826097597
2000-07-28	41143000.0	2937600.0	3041739.1839366406	0.1788989662504315
2000-07-29	41143000.0	2937600.0	3011539.404190314	0.17712277537708507
2000-07-30	41106000.0	2937600.0	3004876.6537703574	0.17673090773478042
2000-07-31	41179000.0	2937600.0	3116091.642151028	0.18327198349759644
2000-08-01	41216000.0	2937600.0	3078868.4846837074	0.18108271479676644
2000-08-02	41253000.0	2937600.0	3071308.313997806	0.1806380656540894
2000-08-03	41289000.0	2937600.0	3025403.3912521787	0.1779381815652866
2000-08-04	41289000.0	3024000.0	3121316.753999803	0.18357929686398408
2000-08-05	41216000.0	3024000.0	3034870.4231753945	0.17849498217247448
2000-08-06	41143000.0	3024000.0	3028180.463328259	0.1781015142159745
2000-08-07	41069000.0	3024000.0	3052245.391276665	0.17951688564413526
2000-08-08	40922000.0	2937600.0	2894624.9892231077	0.17024648957064137
2000-08-09	40702000.0	2937600.0	2823414.7215191275	0.16605827930398362
2000-08-10	40482000.0	2937600.0	2824231.4330417663	0.16610631394413178
2000-08-11	40298000.0	2937600.0	2850038.0639698356	0.16762412310404237
2000-08-12	39968000.0	2826144.0	2573489.460704528	0.1513590009977695
2000-08-13	39637000.0	2816640.0	2578659.1180433324	0.15166305282399614
2000-08-14	39247000.0	2816640.0	2528445.831575766	0.14870977363144602
2000-08-15	38892000.0	2851200.0	2596193.5634434223	0.1526943359045497
2000-08-16	38608000.0	2851200.0	2668413.7391325086	0.15694194360261698
2000-08-17	38360000.0	2937600.0	2790129.112992808	0.16410059634818583
2000-08-18	38182000.0	2937600.0	2852191.4373519844	0.1677507731054797
2000-08-19	37934000.0	2851200.0	2704273.897429742	0.15905104792123548
2000-08-20	37615000.0	2851200.0	2630266.0609796178	0.15469829949846536
2000-08-21	37295000.0	2851200.0	2628200.6864695824	0.15457682512396392
2000-08-22	36940000.0	2851200.0	2571674.427206209	0.15125225035383724
2000-08-23	36728000.0	2851200.0	2718957.305807252	0.15991464812523776
2000-08-24	36444000.0	2851200.0	2653251.5823422703	0.15605018595612802
2000-08-25	36657000.0	2020032.0	2322035.8830404226	0.13656983520024
2000-08-26	36763000.0	1746144.0	1951437.9236806706	0.11477322878043063
2000-08-27	36799000.0	1728000.0	1850849.9354275991	0.10885717680243176
2000-08-28	36799000.0	1728000.0	1787611.427836935	0.10513782318561439
2000-08-29	36869000.0	1728000.0	1860756.456468187	0.10943982582857399
2000-08-30	36976000.0	1728000.0	1910280.3001206485	0.11235255565135484
2000-08-31	37082000.0	1728000.0	1889371.4985959232	0.11112281084020777
2000-09-01	37189000.0	1728000.0	1921490.1840424682	0.11301186156949258
2000-09-02	37270000.0	1728000.0	1866986.0121599631	0.10980621525451284
2000-09-03	37366000.0	1728000.0	1861893.7423287425	0.1095067149510402
2000-09-04	37437000.0	1728000.0	1824901.7248894088	0.10733104068075319
2000-09-05	37473000.0	1728000.0	1847381.473151967	0.10865318024714982
2000-09-06	37473000.0	1728000.0	1814407.6946675777	0.1067138374805575
2000-09-07	37508000.0	1728000.0	1848127.248861827	0.10869704281901436
2000-09-08	37508000.0	1728000.0	1799368.9744693693	0.10582933971973797
2000-09-09	37508000.0	1728000.0	1806546.1164540038	0.10625146114568546
2000-09-10	37544000.0	1728000.0	1844857.866089791	0.10850475506427096
2000-09-11	37544000.0	1728000.0	1806845.30747775	0.10626905797487524
2000-09-12	37544000.0	1728000.0	1798746.1459145998	0.10579270824745791
2000-09-13	37544000.0	1728000.0	1804775.9225796908	0.1061473477306202
2000-09-14	37544000.0	1728000.0	1810574.6249081567	0.10648839664685697
2000-09-15	37473000.0	1728000.0	1741149.9032778665	0.102405202730208
2000-09-16	37402000.0	1728000.0	1740118.6330970377	0.10234454888774529
2000-09-17	37331000.0	1728000.0	1735448.326484213	0.10206986622280174
2000-09-18	37189000.0	1728000.0	1644068.2058935054	0.09669537218470349
2000-09-19	37047000.0	1728000.0	1655754.3871711695	0.09738269138716171
2000-09-20	36976000.0	1728000.0	1730625.2364655957	0.10178619764825068
2000-09-21	36940000.0	1728000.0	1764660.6866531074	0.10378798231360573
2000-09-22	36940000.0	1728000.0	1800345.6100327894	0.1058867802437717
2000-09-23	37082000.0	1563840.0000000002	1775812.3856290805	0.10444386610182572
2000-09-24	37260000.0	1555200.0	1801129.9757840273	0.10593291247719912
2000-09-25	37437000.0	1555200.0	1799479.838934486	0.10583586017958148
2000-09-26	37508000.0	1728000.0	1857961.4592860744	0.10927543891821907
2000-09-27	37579000.0	1728000.0	1857288.9930182137	0.10923588801891979
2000-09-28	37615000.0	1728000.0	1816799.381324803	0.10685450380488672
2000-09-29	37686000.0	1684800.0	1812139.000803	0.10658040493997183
2000-09-30	37686000.0	1684800.0	1742632.9112736264	0.10249242539505174
2000-10-01	37721000.0	1684800.0	1773343.7104599623	0.10429867172155287
2000-10-02	37721000.0	1684800.0	1753841.2637684494	0.1031516412427758
2000-10-03	38289000.0	1036800.0	1670449.7189728543	0.0982469928637354
2000-10-04	38857000.0	777600.0	1409074.0435378626	0.08287426189940222
2000-10-05	39176000.0	691200.0	1066640.4831431147	0.06273413605048224
2000-10-06	39034000.0	1123200.0	1028536.7746215444	0.060493078006842074
2000-10-07	38892000.0	1123200.0	1017425.8568877041	0.05983959275499183
2000-10-08	38750000.0	1123200.0	1043317.3159591854	0.061362391056392754
2000-10-09	38573000.0	1123200.0	1005945.7637106726	0.05916439456157816
2000-10-10	38395000.0	1123200.0	997447.54801661	0.05866457458665402
2000-10-11	38182000.0	1123200.0	960773.8703605311	0.05650762337403134
2000-10-12	38005000.0	1123200.0	860510.1992458105	0.050610646010021285
2000-10-13	37828000.0	1123200.0	995063.3344255504	0.05852434778844157
2000-10-14	37863000.0	1123200.0	1197339.4356323872	0.07042115524457503
2000-10-15	37934000.0	1123200.0	1245818.3577431366	0.07327242832424909
2000-10-16	38005000.0	1123200.0	1232872.3492552848	0.07251101276706493
2000-10-17	38040000.0	1209600.0	1264051.6472530086	0.07434481370886295
2000-10-18	38076000.0	1251072.0	1340422.0254526734	0.07883651430706884
