;Catchment 1;;;Catchment 2;;;Catchment 3;;
Date;P;EP;Q;P;EP;Q;P;ETP;Q
;[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d]
28/06/2004;0;4,2;0,1;0;5,88;0,1;0;7,98;0,1
29/06/2004;0;5;0,08;0;7;0,08;0;9,5;0,08
30/06/2004;0;3,4;0,07;0;4,76;0,07;0;6,46;0,07
01/07/2004;0,5;4,2;0,06;0,35;5,88;0,06;0,25;7,98;0,06
02/07/2004;0;5;0,08;0;7;0,08;0;9,5;0,08
03/07/2004;5;4,7;0,1;3,5;6,58;0,1;2,5;8,93;0,1
04/07/2004;17;3,5;0,1;11,9;4,9;0,1;8,5;6,65;0,1
05/07/2004;0;4;0,25;0;5,6;0,25;0;7,6;0,25
06/07/2004;15,5;4,6;0,14;10,85;6,44;0,14;7,75;8,74;0,14
07/07/2004;46;1;0,07;32,2;1,4;0,07;23;1,9;0,07
08/07/2004;0;2;0,88;0;2,8;0,88;0;3,8;0,88
09/07/2004;0,5;3,9;0,17;0,35;5,46;0,17;0,25;7,41;0,17
10/07/2004;0;3;0,1;0;4,2;0,1;0;5,7;0,1
11/07/2004;4;2,5;0,08;2,8;3,5;0,08;2;4,75;0,08
12/07/2004;0;4,6;0,08;0;6,44;0,08;0;8,74;0,08
13/07/2004;0,5;2,2;0,07;0,35;3,08;0,07;0,25;4,18;0,07
14/07/2004;0;2,4;0,06;0;3,36;0,06;0;4,56;0,06
15/07/2004;0;2,4;0,06;0;3,36;0,06;0;4,56;0,06
16/07/2004;0;4,4;0,05;0;6,16;0,05;0;8,36;0,05
17/07/2004;12,5;3,2;0,07;8,75;4,48;0,07;6,25;6,08;0,07
18/07/2004;0;4,8;0,08;0;6,72;0,08;0;9,12;0,08
19/07/2004;0;4;0,11;0;5,6;0,11;0;7,6;0,11
20/07/2004;4;2,5;0,05;2,8;3,5;0,05;2;4,75;0,05
21/07/2004;0;1,8;0,06;0;2,52;0,06;0;3,42;0,06
22/07/2004;0;4,1;0,05;0;5,74;0,05;0;7,79;0,05
23/07/2004;0;4,7;0,05;0;6,58;0,05;0;8,93;0,05
24/07/2004;0;5,2;0,04;0;7,28;0,04;0;9,88;0,04
25/07/2004;0;3,5;0,04;0;4,9;0,04;0;6,65;0,04
26/07/2004;0;4,4;0,04;0;6,16;0,04;0;8,36;0,04
27/07/2004;0;3,4;0,03;0;4,76;0,03;0;6,46;0,03
28/07/2004;0;4,5;0,03;0;6,3;0,03;0;8,55;0,03
29/07/2004;0,5;2,5;0,03;0,35;3,5;0,03;0,25;4,75;0,03
30/07/2004;0;4,3;0,03;0;6,02;0,03;0;8,17;0,03
31/07/2004;0;4,9;0,02;0;6,86;0,02;0;9,31;0,02
01/08/2004;0;4,5;0,02;0;6,3;0,02;0;8,55;0,02
02/08/2004;0,2;4,3;0,02;0,14;6,02;0,02;0,1;8,17;0,02
03/08/2004;0;4,7;0,02;0;6,58;0,02;0;8,93;0,02
04/08/2004;1;3,4;0,01;0,7;4,76;0,01;0,5;6,46;0,01
05/08/2004;0;3,5;0,02;0;4,9;0,02;0;6,65;0,02
06/08/2004;0;2,6;0,01;0;3,64;0,01;0;4,94;0,01
07/08/2004;0;4,8;0,02;0;6,72;0,02;0;9,12;0,02
08/08/2004;6;2,3;0,02;4,2;3,22;0,02;3;4,37;0,02
09/08/2004;1,2;4,2;0,03;0,84;5,88;0,03;0,6;7,98;0,03
10/08/2004;2,8;4;0,03;1,96;5,6;0,03;1,4;7,6;0,03
11/08/2004;12,9;1,7;0,02;9,03;2,38;0,02;6,45;3,23;0,02
12/08/2004;5;3,1;0,05;3,5;4,34;0,05;2,5;5,89;0,05
13/08/2004;0;4,2;0,05;0;5,88;0,05;0;7,98;0,05
14/08/2004;0,8;2,6;0,02;0,56;3,64;0,02;0,4;4,94;0,02
15/08/2004;40;1,6;0,01;28;2,24;0,01;20;3,04;0,01
16/08/2004;16,4;2;0,49;11,48;2,8;0,49;8,2;3,8;0,49
17/08/2004;14,6;2,4;0,11;10,22;3,36;0,11;7,3;4,56;0,11
18/08/2004;7,2;3,3;0,06;5,04;4,62;0,06;3,6;6,27;0,06
19/08/2004;2;3,4;0,11;1,4;4,76;0,11;1;6,46;0,11
20/08/2004;3,8;2,9;0,06;2,66;4,06;0,06;1,9;5,51;0,06
21/08/2004;0;3,1;0,05;0;4,34;0,05;0;5,89;0,05
22/08/2004;5,4;2;0,03;3,78;2,8;0,03;2,7;3,8;0,03
23/08/2004;5,2;3;0,04;3,64;4,2;0,04;2,6;5,7;0,04
24/08/2004;4,6;2,8;0,06;3,22;3,92;0,06;2,3;5,32;0,06
25/08/2004;1,6;2,2;0,05;1,12;3,08;0,05;0,8;4,18;0,05
26/08/2004;0,2;3,5;0,05;0,14;4,9;0,05;0,1;6,65;0,05
27/08/2004;4,6;0,9;0,03;3,22;1,26;0,03;2,3;1,71;0,03
28/08/2004;0,4;2,2;0,04;0,28;3,08;0,04;0,2;4,18;0,04
29/08/2004;0,8;2,1;0,04;0,56;2,94;0,04;0,4;3,99;0,04
30/08/2004;0,2;2,8;0,03;0,14;3,92;0,03;0,1;5,32;0,03
31/08/2004;0;2,5;0,02;0;3,5;0,02;0;4,75;0,02
01/09/2004;0;3,1;0,02;0;4,34;0,02;0;5,89;0,02
02/09/2004;2,5;2,5;0,01;1,75;3,5;0,01;1,25;4,75;0,01
03/09/2004;0;3;0,02;0;4,2;0,02;0;5,7;0,02
04/09/2004;0;3,9;0,01;0;5,46;0,01;0;7,41;0,01
05/09/2004;0;4,2;0,01;0;5,88;0,01;0;7,98;0,01
06/09/2004;1;4,4;0,01;0,7;6,16;0,01;0,5;8,36;0,01
07/09/2004;0;4,3;0,01;0;6,02;0,01;0;8,17;0,01
08/09/2004;0;4,3;0,01;0;6,02;0,01;0;8,17;0,01
09/09/2004;0;2,8;0;0;3,92;0;0;5,32;0
10/09/2004;3,5;1,5;0;2,45;2,1;0;1,75;2,85;0
11/09/2004;0,5;2,5;0,01;0,35;3,5;0,01;0,25;4,75;0,01
12/09/2004;0;2,2;0,01;0;3,08;0,01;0;4,18;0,01
13/09/2004;14,5;2,4;0;10,15;3,36;0;7,25;4,56;0
14/09/2004;2;2,7;0,04;1,4;3,78;0,04;1;5,13;0,04
15/09/2004;0;2,4;0,01;0;3,36;0,01;0;4,56;0,01
16/09/2004;0;1,8;0;0;2,52;0;0;3,42;0
17/09/2004;3,5;1,9;0;2,45;2,66;0;1,75;3,61;0
18/09/2004;1;1,7;0;0,7;2,38;0;0,5;3,23;0
19/09/2004;0;2;0;0;2,8;0;0;3,8;0
20/09/2004;0;1,2;0;0;1,68;0;0;2,28;0
21/09/2004;0;2,1;0;0;2,94;0;0;3,99;0
22/09/2004;0;1,2;0;0;1,68;0;0;2,28;0
23/09/2004;1,5;1,4;0;1,05;1,96;0;0,75;2,66;0
24/09/2004;0;2,3;0;0;3,22;0;0;4,37;0
25/09/2004;0;1,5;0;0;2,1;0;0;2,85;0
26/09/2004;0;0,9;0;0;1,26;0;0;1,71;0
27/09/2004;0;2,1;0;0;2,94;0;0;3,99;0
28/09/2004;0;1,6;0;0;2,24;0;0;3,04;0
29/09/2004;1;1,3;0;0,7;1,82;0;0,5;2,47;0
30/09/2004;0,5;1,4;0;0,35;1,96;0;0,25;2,66;0
01/10/2004;1;1;0;0,7;1,4;0;0,5;1,9;0
02/10/2004;0;1,2;0;0;1,68;0;0;2,28;0
03/10/2004;0;0,9;0;0;1,26;0;0;1,71;0
04/10/2004;4;1;0;2,8;1,4;0;2;1,9;0
05/10/2004;0;1,3;0;0;1,82;0;0;2,47;0
06/10/2004;0;1,3;0;0;1,82;0;0;2,47;0
07/10/2004;0;1;0;0;1,4;0;0;1,9;0
08/10/2004;0;1,5;0;0;2,1;0;0;2,85;0
09/10/2004;7,6;0,6;0;5,32;0,84;0;3,8;1,14;0
10/10/2004;6,6;0,8;0;4,62;1,12;0;3,3;1,52;0
11/10/2004;0;1,1;0;0;1,54;0;0;2,09;0
12/10/2004;1,5;0,6;0;1,05;0,84;0;0,75;1,14;0
13/10/2004;16,5;0,8;0;11,55;1,12;0;8,25;1,52;0
14/10/2004;6;1,3;0;4,2;1,82;0;3;2,47;0
15/10/2004;3,5;1,3;0,01;2,45;1,82;0,01;1,75;2,47;0,01
16/10/2004;3;1;0,02;2,1;1,4;0,02;1,5;1,9;0,02
17/10/2004;0;1,1;0;0;1,54;0;0;2,09;0
18/10/2004;0,5;0,7;0;0,35;0,98;0;0,25;1,33;0
19/10/2004;22;1,1;0;15,4;1,54;0;11;2,09;0
20/10/2004;11,5;1,1;0;8,05;1,54;0;5,75;2,09;0
21/10/2004;2,5;1,2;0,28;1,75;1,68;0,28;1,25;2,28;0,28
22/10/2004;9,5;0,7;0,02;6,65;0,98;0,02;4,75;1,33;0,02
23/10/2004;5,5;1,4;0,01;3,85;1,96;0,01;2,75;2,66;0,01
24/10/2004;8,5;0,7;0,1;5,95;0,98;0,1;4,25;1,33;0,1
25/10/2004;1;0,9;0,1;0,7;1,26;0,1;0,5;1,71;0,1
26/10/2004;0;0,6;0,11;0;0,84;0,11;0;1,14;0,11
27/10/2004;3;0,7;0,05;2,1;0,98;0,05;1,5;1,33;0,05
28/10/2004;9,8;1,2;0,07;6,86;1,68;0,07;4,9;2,28;0,07
29/10/2004;12,2;1;0,06;8,54;1,4;0,06;6,1;1,9;0,06
30/10/2004;3;0,7;0,05;2,1;0,98;0,05;1,5;1,33;0,05
31/10/2004;0;0,7;0,09;0;0,98;0,09;0;1,33;0,09
01/11/2004;0;0,9;0,04;0;1,26;0,04;0;1,71;0,04
02/11/2004;0,5;0,5;0,03;0,35;0,7;0,03;0,25;0,95;0,03
03/11/2004;2;0,1;0,04;1,4;0,14;0,04;1;0,19;0,04
04/11/2004;0,5;0,4;0,04;0,35;0,56;0,04;0,25;0,76;0,04
05/11/2004;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
06/11/2004;0;0,4;0,04;0;0,56;0,04;0;0,76;0,04
07/11/2004;0;0,2;0,03;0;0,28;0,03;0;0,38;0,03
08/11/2004;0;0,6;0,02;0;0,84;0,02;0;1,14;0,02
09/11/2004;2;0,7;0,02;1,4;0,98;0,02;1;1,33;0,02
10/11/2004;4,5;0,7;0,01;3,15;0,98;0,01;2,25;1,33;0,01
11/11/2004;0;0,6;0,05;0;0,84;0,05;0;1,14;0,05
12/11/2004;0;0,1;0,06;0;0,14;0,06;0;0,19;0,06
13/11/2004;0;0,5;0,12;0;0,7;0,12;0;0,95;0,12
14/11/2004;0;0,2;0,11;0;0,28;0,11;0;0,38;0,11
15/11/2004;0;0,2;0,1;0;0,28;0,1;0;0,38;0,1
16/11/2004;0,5;0,3;0,08;0,35;0,42;0,08;0,25;0,57;0,08
17/11/2004;0,5;0,3;0,08;0,35;0,42;0,08;0,25;0,57;0,08
18/11/2004;2,5;0,5;0,05;1,75;0,7;0,05;1,25;0,95;0,05
19/11/2004;0;0,2;0,04;0;0,28;0,04;0;0,38;0,04
20/11/2004;0;0;0,03;0;0;0,03;0;0;0,03
21/11/2004;0;0,2;0;0;0,28;0;0;0,38;0
22/11/2004;1,5;0;0;1,05;0;0;0,75;0;0
23/11/2004;0;0,2;0;0;0,28;0;0;0,38;0
24/11/2004;0;0,1;0;0;0,14;0;0;0,19;0
25/11/2004;1;0;0;0,7;0;0;0,5;0;0
26/11/2004;0;0;0;0;0;0;0;0;0
27/11/2004;6;0,1;0;4,2;0,14;0;3;0,19;0
28/11/2004;2,5;0;0;1,75;0;0;1,25;0;0
29/11/2004;0;0,1;0,04;0;0,14;0,04;0;0,19;0,04
30/11/2004;0;0,3;0,01;0;0,42;0,01;0;0,57;0,01
01/12/2004;0;0;0,02;0;0;0,02;0;0;0,02
02/12/2004;0;0;0,03;0;0;0,03;0;0;0,03
03/12/2004;0;0;0,03;0;0;0,03;0;0;0,03
04/12/2004;0;0;0,03;0;0;0,03;0;0;0,03
05/12/2004;0;0;0,02;0;0;0,02;0;0;0,02
06/12/2004;0;0,1;0,03;0;0,14;0,03;0;0,19;0,03
07/12/2004;0;0;0,03;0;0;0,03;0;0;0,03
08/12/2004;0;0,1;0,03;0;0,14;0,03;0;0,19;0,03
09/12/2004;0;0,1;0,03;0;0,14;0,03;0;0,19;0,03
10/12/2004;0;0;0,02;0;0;0,02;0;0;0,02
11/12/2004;0;0;0,02;0;0;0,02;0;0;0,02
12/12/2004;0;0,1;0,02;0;0,14;0,02;0;0,19;0,02
13/12/2004;0;0;0,02;0;0;0,02;0;0;0,02
14/12/2004;0;0;0,03;0;0;0,03;0;0;0,03
15/12/2004;1,5;0;0,02;1,05;0;0,02;0,75;0;0,02
16/12/2004;5,5;0,1;0,03;3,85;0,14;0,03;2,75;0,19;0,03
17/12/2004;8;0,7;0,05;5,6;0,98;0,05;4;1,33;0,05
18/12/2004;9,5;0;0,07;6,65;0;0,07;4,75;0;0,07
19/12/2004;3;0,6;0,05;2,1;0,84;0,05;1,5;1,14;0,05
20/12/2004;2;0;0,15;1,4;0;0,15;1;0;0,15
21/12/2004;0;0;0,1;0;0;0,1;0;0;0,1
22/12/2004;1,5;0;0,07;1,05;0;0,07;0,75;0;0,07
23/12/2004;1,5;0,2;0,05;1,05;0,28;0,05;0,75;0,38;0,05
24/12/2004;9;0,5;0,05;6,3;0,7;0,05;4,5;0,95;0,05
25/12/2004;6;0,1;0,09;4,2;0,14;0,09;3;0,19;0,09
26/12/2004;0,5;0;0,11;0,35;0;0,11;0,25;0;0,11
27/12/2004;11;0;0,11;7,7;0;0,11;5,5;0;0,11
28/12/2004;1;0;0,06;0,7;0;0,06;0,5;0;0,06
29/12/2004;0,5;0;0,36;0,35;0;0,36;0,25;0;0,36
30/12/2004;0;0;0,13;0;0;0,13;0;0;0,13
31/12/2004;0,5;0,2;0,12;0,35;0,28;0,12;0,25;0,38;0,12
01/01/2005;0,5;0,3;0,11;0,35;0,42;0,11;0,25;0,57;0,11
02/01/2005;0,5;0;0,13;0,35;0;0,13;0,25;0;0,13
03/01/2005;0;0;0,15;0;0;0,15;0;0;0,15
04/01/2005;4;0,1;0,1;2,8;0,14;0,1;2;0,19;0,1
05/01/2005;1,5;0;0,1;1,05;0;0,1;0,75;0;0,1
06/01/2005;0,5;0,1;0,09;0,35;0,14;0,09;0,25;0,19;0,09
07/01/2005;4;0,4;0,08;2,8;0,56;0,08;2;0,76;0,08
08/01/2005;0,5;0,1;0,08;0,35;0,14;0,08;0,25;0,19;0,08
09/01/2005;1,5;0;0,13;1,05;0;0,13;0,75;0;0,13
10/01/2005;6,5;0,3;0,09;4,55;0,42;0,09;3,25;0,57;0,09
11/01/2005;9;0,1;0,18;6,3;0,14;0,18;4,5;0,19;0,18
12/01/2005;0,5;0;0,23;0,35;0;0,23;0,25;0;0,23
13/01/2005;1;0;0,13;0,7;0;0,13;0,5;0;0,13
14/01/2005;9,5;0;0,11;6,65;0;0,11;4,75;0;0,11
15/01/2005;0;0;0,26;0;0;0,26;0;0;0,26
16/01/2005;0;0,1;0,19;0;0,14;0,19;0;0,19;0,19
17/01/2005;2,5;0;0,14;1,75;0;0,14;1,25;0;0,14
18/01/2005;0;0,01;0,14;0;0,01;0,14;0;0,02;0,14
19/01/2005;0;0,03;0,33;0;0,04;0,33;0;0,06;0,33
20/01/2005;0;0,04;0,24;0;0,06;0,24;0;0,08;0,24
21/01/2005;0;0,05;0,2;0;0,07;0,2;0;0,1;0,2
22/01/2005;0;0,06;0,2;0;0,08;0,2;0;0,11;0,2
23/01/2005;0;0,07;0,2;0;0,1;0,2;0;0,13;0,2
24/01/2005;0;0,09;0,25;0;0,13;0,25;0;0,17;0,25
25/01/2005;2;0,1;0,21;1,4;0,14;0,21;1;0,19;0,21
26/01/2005;0;0,2;0,21;0;0,28;0,21;0;0,38;0,21
27/01/2005;0;0,2;0,24;0;0,28;0,24;0;0,38;0,24
28/01/2005;0,5;0,4;0,26;0,35;0,56;0,26;0,25;0,76;0,26
29/01/2005;0;0,5;0,26;0;0,7;0,26;0;0,95;0,26
30/01/2005;0;0,2;0,26;0;0,28;0,26;0;0,38;0,26
31/01/2005;0;0,6;0,26;0;0,84;0,26;0;1,14;0,26
01/02/2005;0;0,5;0,28;0;0,7;0,28;0;0,95;0,28
02/02/2005;0;0,5;0,27;0;0,7;0,27;0;0,95;0,27
03/02/2005;0;0,4;0,25;0;0,56;0,25;0;0,76;0,25
04/02/2005;0;0,4;0,25;0;0,56;0,25;0;0,76;0,25
05/02/2005;3,5;0,3;0,26;2,45;0,42;0,26;1,75;0,57;0,26
06/02/2005;0;0,3;0,28;0;0,42;0,28;0;0,57;0,28
07/02/2005;0;0,1;0,26;0;0,14;0,26;0;0,19;0,26
08/02/2005;0;0,4;0,26;0;0,56;0,26;0;0,76;0,26
09/02/2005;0;0,2;0,26;0;0,28;0,26;0;0,38;0,26
10/02/2005;11,5;0,2;0,24;8,05;0,28;0,24;5,75;0,38;0,24
11/02/2005;2;0,2;0,27;1,4;0,28;0,27;1;0,38;0,27
12/02/2005;3;0,8;0,46;2,1;1,12;0,46;1,5;1,52;0,46
13/02/2005;2;1,2;0,38;1,4;1,68;0,38;1;2,28;0,38
14/02/2005;0;1,1;0,35;0;1,54;0,35;0;2,09;0,35
15/02/2005;0;0,9;0,29;0;1,26;0,29;0;1,71;0,29
16/02/2005;0;0,6;0,26;0;0,84;0,26;0;1,14;0,26
17/02/2005;1,6;0,2;0,25;1,12;0,28;0,25;0,8;0,38;0,25
18/02/2005;0,4;0,4;0,26;0,28;0,56;0,26;0,2;0,76;0,26
19/02/2005;0,6;0,8;0,25;0,42;1,12;0,25;0,3;1,52;0,25
20/02/2005;0;0,8;0,25;0;1,12;0,25;0;1,52;0,25
21/02/2005;0,8;0,6;0,25;0,56;0,84;0,25;0,4;1,14;0,25
22/02/2005;0,2;0,7;0,25;0,14;0,98;0,25;0,1;1,33;0,25
23/02/2005;0,6;0,5;0,25;0,42;0,7;0,25;0,3;0,95;0,25
24/02/2005;1,1;0,5;0,24;0,77;0,7;0,24;0,55;0,95;0,24
25/02/2005;0;0,7;0,24;0;0,98;0,24;0;1,33;0,24
26/02/2005;0;1,1;0,24;0;1,54;0,24;0;2,09;0,24
27/02/2005;0;1;0,23;0;1,4;0,23;0;1,9;0,23
28/02/2005;0;1;0,22;0;1,4;0,22;0;1,9;0,22
01/03/2005;13;0,4;0,22;9,1;0,56;0,22;6,5;0,76;0,22
02/03/2005;0,5;0,8;0,27;0,35;1,12;0,27;0,25;1,52;0,27
03/03/2005;0;1,3;0,32;0;1,82;0,32;0;2,47;0,32
04/03/2005;0,5;0,7;0,24;0,35;0,98;0,24;0,25;1,33;0,24
05/03/2005;1,5;1,3;0,23;1,05;1,82;0,23;0,75;2,47;0,23
06/03/2005;0;1,3;0,23;0;1,82;0,23;0;2,47;0,23
07/03/2005;0;0,8;0,22;0;1,12;0,22;0;1,52;0,22
08/03/2005;0;0,9;0,21;0;1,26;0,21;0;1,71;0,21
09/03/2005;0;0,9;0,21;0;1,26;0,21;0;1,71;0,21
10/03/2005;0;0,8;0,21;0;1,12;0,21;0;1,52;0,21
11/03/2005;0;0,6;0,21;0;0,84;0,21;0;1,14;0,21
12/03/2005;0;1,6;0,22;0;2,24;0,22;0;3,04;0,22
13/03/2005;0,5;1,1;0,22;0,35;1,54;0,22;0,25;2,09;0,22
14/03/2005;0;1,1;0,22;0;1,54;0,22;0;2,09;0,22
15/03/2005;0;1,1;0,22;0;1,54;0,22;0;2,09;0,22
16/03/2005;0;1,4;0,22;0;1,96;0,22;0;2,66;0,22
17/03/2005;0,5;0,8;0,2;0,35;1,12;0,2;0,25;1,52;0,2
18/03/2005;4,5;2,1;0,18;3,15;2,94;0,18;2,25;3,99;0,18
19/03/2005;0;2,5;0,18;0;3,5;0,18;0;4,75;0,18
20/03/2005;0;2,2;0,18;0;3,08;0,18;0;4,18;0,18
21/03/2005;6;1,2;0,17;4,2;1,68;0,17;3;2,28;0,17
22/03/2005;5,5;1,4;0,19;3,85;1,96;0,19;2,75;2,66;0,19
23/03/2005;0,5;2;0,2;0,35;2,8;0,2;0,25;3,8;0,2
24/03/2005;0;1,5;0,17;0;2,1;0,17;0;2,85;0,17
25/03/2005;1,5;2,3;0,17;1,05;3,22;0,17;0,75;4,37;0,17
26/03/2005;0;2,4;0,16;0;3,36;0,16;0;4,56;0,16
27/03/2005;0;1,5;0,16;0;2,1;0,16;0;2,85;0,16
28/03/2005;3;1,3;0,15;2,1;1,82;0,15;1,5;2,47;0,15
29/03/2005;7;1,3;0,15;4,9;1,82;0,15;3,5;2,47;0,15
30/03/2005;0;2,2;0,16;0;3,08;0,16;0;4,18;0,16
31/03/2005;0;1,9;0,22;0;2,66;0,22;0;3,61;0,22
01/04/2005;0;2,4;0,17;0;3,36;0,17;0;4,56;0,17
02/04/2005;0;2,2;0,16;0;3,08;0,16;0;4,18;0,16
03/04/2005;1;1,2;0,16;0,7;1,68;0,16;0,5;2,28;0,16
04/04/2005;1;0,9;0,16;0,7;1,26;0,16;0,5;1,71;0,16
05/04/2005;0;1,6;0,16;0;2,24;0,16;0;3,04;0,16
06/04/2005;0,5;1,2;0,15;0,35;1,68;0,15;0,25;2,28;0,15
07/04/2005;4,5;2,3;0,15;3,15;3,22;0,15;2,25;4,37;0,15
08/04/2005;1,5;2,3;0,15;1,05;3,22;0,15;0,75;4,37;0,15
09/04/2005;0;2,9;0,16;0;4,06;0,16;0;5,51;0,16
10/04/2005;0;1,9;0,15;0;2,66;0,15;0;3,61;0,15
11/04/2005;0;3;0,15;0;4,2;0,15;0;5,7;0,15
12/04/2005;0;2,2;0,15;0;3,08;0,15;0;4,18;0,15
13/04/2005;12,5;1,1;0,15;8,75;1,54;0,15;6,25;2,09;0,15
14/04/2005;0;2,8;0,16;0;3,92;0,16;0;5,32;0,16
15/04/2005;12;1,9;0,16;8,4;2,66;0,16;6;3,61;0,16
16/04/2005;0;2,6;0,18;0;3,64;0,18;0;4,94;0,18
17/04/2005;11,5;0,1;0,14;8,05;0,14;0,14;5,75;0,19;0,14
18/04/2005;6,5;2,1;0,18;4,55;2,94;0,18;3,25;3,99;0,18
19/04/2005;3;2,4;0,25;2,1;3,36;0,25;1,5;4,56;0,25
20/04/2005;0;2,5;0,21;0;3,5;0,21;0;4,75;0,21
21/04/2005;8,5;3;0,17;5,95;4,2;0,17;4,25;5,7;0,17
22/04/2005;13,5;0,5;0,15;9,45;0,7;0,15;6,75;0,95;0,15
23/04/2005;0,5;1,7;0,53;0,35;2,38;0,53;0,25;3,23;0,53
24/04/2005;0;2,7;0,24;0;3,78;0,24;0;5,13;0,24
25/04/2005;3;1,7;0,19;2,1;2,38;0,19;1,5;3,23;0,19
26/04/2005;2;2;0,19;1,4;2,8;0,19;1;3,8;0,19
27/04/2005;0;2,1;0,19;0;2,94;0,19;0;3,99;0,19
28/04/2005;9,5;0,8;0,16;6,65;1,12;0,16;4,75;1,52;0,16
29/04/2005;0;1,1;0,23;0;1,54;0,23;0;2,09;0,23
30/04/2005;0;3,8;0,22;0;5,32;0,22;0;7,22;0,22
01/05/2005;1;2,9;0,18;0,7;4,06;0,18;0,5;5,51;0,18
02/05/2005;6;2,9;0,15;4,2;4,06;0,15;3;5,51;0,15
03/05/2005;4,5;2,6;0,16;3,15;3,64;0,16;2,25;4,94;0,16
04/05/2005;0;2,4;0,18;0;3,36;0,18;0;4,56;0,18
05/05/2005;0;3,6;0,14;0;5,04;0,14;0;6,84;0,14
06/05/2005;0;1,8;0,12;0;2,52;0,12;0;3,42;0,12
07/05/2005;0;3,6;0,11;0;5,04;0,11;0;6,84;0,11
08/05/2005;0;3,3;0,11;0;4,62;0,11;0;6,27;0,11
09/05/2005;0;3,7;0,11;0;5,18;0,11;0;7,03;0,11
10/05/2005;0;3,9;0,1;0;5,46;0,1;0;7,41;0,1
11/05/2005;0;4,7;0,11;0;6,58;0,11;0;8,93;0,11
12/05/2005;1;1,9;0,16;0,7;2,66;0,16;0,5;3,61;0,16
13/05/2005;0;1,9;0,13;0;2,66;0,13;0;3,61;0,13
14/05/2005;4;3,3;0,12;2,8;4,62;0,12;2;6,27;0,12
15/05/2005;0;3,1;0,1;0;4,34;0,1;0;5,89;0,1
16/05/2005;0;3,2;0,11;0;4,48;0,11;0;6,08;0,11
17/05/2005;0;3,3;0,1;0;4,62;0,1;0;6,27;0,1
18/05/2005;12;3,1;0,1;8,4;4,34;0,1;6;5,89;0,1
19/05/2005;12;0,7;0,09;8,4;0,98;0,09;6;1,33;0,09
20/05/2005;0,5;2,6;0,23;0,35;3,64;0,23;0,25;4,94;0,23
21/05/2005;0,5;3,5;0,17;0,35;4,9;0,17;0,25;6,65;0,17
22/05/2005;4,5;3,4;0,13;3,15;4,76;0,13;2,25;6,46;0,13
23/05/2005;0;3,7;0,14;0;5,18;0,14;0;7,03;0,14
24/05/2005;0;1,4;0,12;0;1,96;0,12;0;2,66;0,12
25/05/2005;0;4,9;0,11;0;6,86;0,11;0;9,31;0,11
26/05/2005;0;4,2;0,1;0;5,88;0,1;0;7,98;0,1
27/05/2005;0;5,3;0,1;0;7,42;0,1;0;10,07;0,1
28/05/2005;0;4,8;0,09;0;6,72;0,09;0;9,12;0,09
29/05/2005;0,5;3,3;0,09;0,35;4,62;0,09;0,25;6,27;0,09
30/05/2005;0;3,5;0,09;0;4,9;0,09;0;6,65;0,09
31/05/2005;0;1,6;0,09;0;2,24;0,09;0;3,04;0,09
01/06/2005;0;3,2;0,08;0;4,48;0,08;0;6,08;0,08
02/06/2005;0;4,1;0,08;0;5,74;0,08;0;7,79;0,08
03/06/2005;0;4;0,1;0;5,6;0,1;0;7,6;0,1
04/06/2005;0;3,8;0,14;0;5,32;0,14;0;7,22;0,14
05/06/2005;4;1,6;0,19;2,8;2,24;0,19;2;3,04;0,19
06/06/2005;0;2,9;0,18;0;4,06;0,18;0;5,51;0,18
07/06/2005;0;5,3;0,08;0;7,42;0,08;0;10,07;0,08
08/06/2005;0;5,5;0,06;0;7,7;0,06;0;10,45;0,06
09/06/2005;0;6;0,07;0;8,4;0,07;0;11,4;0,07
10/06/2005;0;5,5;0,12;0;7,7;0,12;0;10,45;0,12
11/06/2005;0;5,6;0,09;0;7,84;0,09;0;10,64;0,09
12/06/2005;0;5,5;0,08;0;7,7;0,08;0;10,45;0,08
13/06/2005;0;5,4;0,08;0;7,56;0,08;0;10,26;0,08
14/06/2005;15;3,8;0,07;10,5;5,32;0,07;7,5;7,22;0,07
15/06/2005;2;4,5;0,07;1,4;6,3;0,07;1;8,55;0,07
16/06/2005;0;1,5;0,14;0;2,1;0,14;0;2,85;0,14
17/06/2005;0;3,5;0,05;0;4,9;0,05;0;6,65;0,05
18/06/2005;0;6,7;0,05;0;9,38;0,05;0;12,73;0,05
19/06/2005;0;5,7;0,05;0;7,98;0,05;0;10,83;0,05
20/06/2005;0;5;0,05;0;7;0,05;0;9,5;0,05
21/06/2005;0;6;0,05;0;8,4;0,05;0;11,4;0,05
22/06/2005;0;6;0,05;0;8,4;0,05;0;11,4;0,05
23/06/2005;0;6,4;0,04;0;8,96;0,04;0;12,16;0,04
24/06/2005;0;4,6;0,05;0;6,44;0,05;0;8,74;0,05
25/06/2005;0;3,6;0,04;0;5,04;0,04;0;6,84;0,04
26/06/2005;0;4;0,03;0;5,6;0,03;0;7,6;0,03
27/06/2005;0;6;0,04;0;8,4;0,04;0;11,4;0,04
28/06/2005;3;3,7;0,03;2,1;5,18;0,03;1,5;7,03;0,03
29/06/2005;3,5;3,8;0,04;2,45;5,32;0,04;1,75;7,22;0,04
